NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Karla Macedo;Karla_Macedo@bol.com.br;32538-621;Costa Rua;176;Praia Grande;Tocantins;Jardim & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/318.jpg
Yago Albuquerque;Yago.Albuquerque53@hotmail.com;77726-692;Costa Alameda;880;Rio de Janeiro;Acre;Sapatos, Esportes & Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1212.jpg
Ana Laura Costa;AnaLaura_Costa@live.com;65687-221;Feliciano Alameda;117;Jaboatão dos Guararapes;Rio de Janeiro;Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/562.jpg
Márcia Moreira;Marcia80@hotmail.com;80446-427;Reis Travessa;440;Guarulhos;Mato Grosso;Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1174.jpg
Giovanna Costa;Giovanna_Costa@bol.com.br;23205-456;Santos Rua;188;Carapicuíba;Roraima;Livros & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/835.jpg
Roberto Xavier;Roberto_Xavier@hotmail.com;62756-486;Saraiva Alameda;984;Porto Velho;Pernambuco;Esportes & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/943.jpg
Beatriz Martins;Beatriz_Martins@yahoo.com;42773-202;Moreira Rua;736;Jundiaí;Rondônia;Bebê, Mercearia & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/880.jpg
Sarah Oliveira;Sarah.Oliveira83@live.com;72948-257;Batista Rodovia;602;Guarujá;Distrito Federal;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/122.jpg
Joana Pereira;Joana_Pereira@yahoo.com;35675-413;Gael Travessa;700;São José dos Pinhais;Alagoas;Automotivo, Turismo & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/106.jpg
Miguel Moraes;Miguel.Moraes@live.com;13250-393;Morgana Rua;33;Ribeirão Preto;Rondônia;Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/975.jpg
Giovanna Franco;Giovanna_Franco@bol.com.br;09742-994;Pereira Alameda;545;Caxias do Sul;Piauí;Mercearia, Casa & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1001.jpg
Márcia Moreira;Marcia.Moreira@gmail.com;86259-340;Júlia Marginal;280;Várzea Grande;Rio de Janeiro;Esportes & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/302.jpg
Joaquim Xavier;Joaquim84@hotmail.com;65577-101;Lorenzo Travessa;281;Blumenau;Rio de Janeiro;Mercearia & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1115.jpg
Yago Melo;Yago1@hotmail.com;92949-581;Benjamin Rua;794;Juiz de Fora;Maranhão;Música, Jóias & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1064.jpg
Heloísa Albuquerque;Heloisa.Albuquerque32@live.com;46474-186;Antonella Travessa;244;Paulista;Roraima;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1137.jpg
Deneval Nogueira;Deneval7@gmail.com;85539-802;Nogueira Alameda;570;Campos dos Goytacazes;Paraíba;Jardim & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/318.jpg
Maria Pereira;Maria_Pereira62@bol.com.br;07430-120;Luiza Travessa;694;Curitiba;Mato Grosso;Roupas & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/483.jpg
Ladislau Braga;Ladislau_Braga52@hotmail.com;37904-144;Vitória Rua;432;Várzea Grande;Santa Catarina;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/833.jpg
